OfferDetails,Products
Lipton or Tazo Tea 75-100-ct. Lipton or 20-ct. Tazo.,"['tazo tea 75-100-ct. lipton', '20-ct. tazo']"
Glacéau smartwater Sport 700-ml. or 20-oz. vitaminwater. +CRV(CA only). Limit 12.,['glacéau smartwater sport 700-ml']
Simply Orange Juice 52-oz. +CRV(CA only). Limit 4.,['orange juice 52-oz']
7-UP 2-ltr. +CRV(CA only). Limit 4.,['7-up 2-ltr']
"Gatorade 8-pk., 20-oz. +CRV(CA only). Limit 4.",['gatorade 8-pk.']
When you Buy 12-Pk. Dr Pepper & Cream... Buy Regular or Diet Dr. Pepper & Cream Soda & get FREE...,"['dr pepper', 'cream ...', 'diet dr. pepper', 'cream soda', 'free ...']"
"San Pellegrino Soda 6-pk., 11.15-oz. +CRV(CA only). Limit 4.",['san pellegrino soda 6-pk.']
Signature SELECT Apple Juice or Lemonade 64-oz. +CRV(CA only). Limit 4.,"['select apple juice', 'lemonade 64-oz']"
Green Mountain Coffee Roasters or The Original Donut Shop. 12-32-ct. k-cup pods.,"['green mountain coffee roasters', 'original donut shop', '12-32-ct. k-cup pods']"
KeVita® on any TWO (2) 15.2oz. KeVita® bottles.,['kevita® bottles']
Naked® Juice on any TWO (2) 15.2oz Naked® Juice bottles.,"['naked® juice', '15.2oz naked® juice bottles']"
Hint® Water When you buy any FIVE (5) bottles of Still Hint® Water.,"['hint® water', 'hint® water']"
Arrowhead® Brand Water on any THREE (3) Arrowhead® Spring Water Case Packs...,"['arrowhead® brand water', 'arrowhead® spring water case ...']"
Starbucks® ONE (1) Starbucks® Ground Coffee with Essential Vitamins or...,"['starbucks® ground coffee', 'essential vitamins']"
"Starbucks® ONE (1) Starbucks® K-Cup® Coffee with Essential Vitamins,...","['starbucks® k-cup® coffee', 'essential vitamins']"
"Glaceau smartwater 12-pk., 1-ltr. bottles. Limit 1.",['glaceau smartwater 12-pk.']
"Glaceau smartwater 6-pk., 1-liter. Limit 1 per transaction.",['glaceau smartwater 6-pk.']
Silk Almondmilk Half-gallon. Gluten free.,['silk almondmilk half-gallon']
Lucerne Cheese 6-8-oz. Limit 4.,['lucerne cheese 6-8-oz']
Lucerne Flavored Creamer 32-oz. Limit 4.,['creamer 32-oz']
Galbani String or Stick Cheese 10-12-oz.,"['galbani string', 'cheese 10-12-oz']"
"Dannon Greek Yogurt 4-pack, 5.3-oz.",['dannon greek yogurt 4-pack']
Chobani Greek Yogurt 32-oz.,['chobani greek yogurt 32-oz']
Challenge or Danish Creamery Butter 16-oz. quarters. Or 15-oz. Challenge spreadable butter....,"['danish creamery butter 16-oz', 'spreadable butter ...']"
Sargento Snack Bites on ONE (1) Sargento Snack Bites.,"['sargento snack bites', 'sargento snack bites']"
Sargento Balanced Breaks on ONE (1) Sargento Balanced Breaks.,[]
Sargento® on any TWO (2) Sargento® Natural Cheese Slices.,['natural cheese slices']
Oikos Blue Yogurt On Any ONE (1) Oikos Blue Yogurt Cup (excluding Triple Zero).,"['blue yogurt', 'blue yogurt cup', 'triple zero']"
Frigo® Cheese Heads® Cheese on ONE (1) Frigo® Cheese Heads® 8ct or larger Snack Cheese...,"['frigo® cheese heads® cheese', 'frigo® cheese heads® 8ct', 'snack cheese ...']"
noosa® Yoghurt on any THREE (3) noosa® yoghurts.,"['noosa® yoghurt', 'noosa® yoghurts']"
Hennessy VS 750-ml. Or 1.75-ltr.Ketel One. Limit 2 items.,['hennessy vs 750-ml']
"- on TWO (2) 12-packs or larger of Elysian Family, Golden...","['elysian family', 'golden ...']"
Crook & Marker® on any combination of TWO (2) 8-can variety packs of Crook...,"['8-can variety', 'crook ...']"
A to Z Wineworks on any TWO (2) 750ml bottles of A to Z Wineworks wine.,"['z wineworks', '750ml bottles', 'z wineworks wine']"
Truly Hard Seltzer on any FOUR (4) 6-packs or TWO (2) 12-packs or ONE (1)...,['hard seltzer']
Anheuser-Busch Multi Brand On 18PK or larger of Bud Light® or 12PK or larger of...,"['anheuser-busch multi brand', 'bud light®']"
Erath Oregon on the purchase of TWO (2) 750ml bottles of Erath Oregon...,"['erath oregon', '750ml bottles', 'erath oregon ...']"
Anchor Brewing Co the purchase of Anchor Steam or Anchor California Lager 6...,"['anchor steam', 'anchor california lager']"
MALIBU® and Dole® Canned Pineapple Juice on any Dole® Canned Pineapple Juice with the purchase of...,"['pineapple juice', 'pineapple juice']"
ALTOS™ Tequila on taco essentials when you purchase ONE (1) 750ml bottle...,"['altos™ tequila', 'taco essentials', '750ml bottle ...']"
KETEL ONE® BOTANICALS on ONE (1) bottle (750ml only) of KETEL ONE® BOTANICALS and...,"['ketel one® botanicals', 'ketel one® botanicals']"
ABSOLUT® VODKA on any mixer when you purchase of any ONE (1) 750ml bottle...,"['absolut® vodka', '750ml bottle ...']"
JAMESON® Irish Whiskey on ONE (1) 750ml bottle of JAMESON® IRISH WHISKEY.,"['jameson® irish whiskey', '750ml bottle', 'jameson® irish whiskey']"
BEEFEATER® London Dry Gin on any tonic water when you purchase any ONE (1) 750ml...,"['beefeater® london dry gin', 'tonic water', '750ml ...']"
Stella Artois® on TWO (2) 12-packs of any Stella Artois® products.,"['stella artois®', 'stella artois® products']"
TEQUILA AVIÓN® ONE (1) 750ml bottle of TEQUILA AVIÓN® Silver or Reposado.,"['tequila avión®', '750ml bottle', 'tequila avión® silver']"
"Clausthaler on ONE (1) Clausthaler beer 6-Pack (Original, Dry Hopped or...",['clausthaler beer 6-pack']
Mike's Hard Lemonade on ONE (1) 12-pack of Mike's Hard Lemonade.,"[""mike 's"", 'hard lemonade', ""mike 's"", 'hard lemonade']"
"San Simeon & Maddalena Wine $3 for THREE (3), $9 for SIX (6) or $24 when you purchase...","['san simeon', 'maddalena wine $', 'purchase ...']"
"Kendall-Jackson Wine Save $12 when you buy SIX (6), Save $3 when you buy THREE...",['kendall-jackson wine $']
Pacifico Clara When you buy ONE (1) 12-pack or larger of Pacifico Clara...,"['pacifico clara', 'pacifico clara ...']"
Modelo When you buy TWO (2) 12-packs or ONE (1) 24-pack of Modelo...,['modelo ...']
Kona® Brewing on ONE (1) 12-pack Kona® beer and Groceries.,['12-pack kona® beer']
"Cupcake® Wine Save $2 on TWO (2), $6 on FOUR (4), $18 on SIX (6) on...",['cupcake® wine $']
"CORONA when you purchase ONE (1) 24-pack of Corona Extra, Corona...",['corona ...']
"CORONA $10 off TWO (2), or $5 off ONE (1) 12-pack or larger of...",['corona $']
Russian Standard® Original Vodka on ONE (1) 1.75 Liter Bottle of Russian Standard® Original...,"['russian standard®', 'original vodka', 'liter bottle', 'russian standard®', 'original ...']"
New Belgium Beer on TWO (2) 6pks of any New Belgium beer.,"['new belgium beer', 'new belgium beer']"
"Ace Kicker $1 on ONE (1), $6 on THREE (3) or $18 on SIX (6) 750ml...","['ace kicker $', '750ml ...']"
Gentleman Jack® On One (1) 750ml or larger bottle of Gentleman Jack.,"['gentleman jack®', 'gentleman jack']"
St. Huberts The Stag Recieve $2 on ONE (1) or $5 on TWO (2) 750ml bottles of St....,"['st. huberts', 'stag recieve $', '750ml bottles', 'st ...']"
7 Deadly and Imagery Wines on ONE (1) 750 Bottle of 7 Deadly or Imagery.,['imagery wines']
BULLEIT on ONE (1) bottle (750ml only) of participating BULLEIT...,['bulleit ...']
"SMIRNOFF ICE, SMIRNOFF SELTZER on ONE (1) 12-pack of SMIRNOFF ICE OR SMIRNOFF Seltzer AND...","['smirnoff ice', 'smirnoff seltzer', 'smirnoff ice', 'smirnoff seltzer']"
Grand Marnier® on ONE (1) Bottle of Grand Marnier® 750ml.,"['grand marnier®', 'grand marnier® 750ml']"
CROWN ROYAL ONE (1) bottle (750ml or larger) of CROWN ROYAL (any...,[]
KETEL ONE® ONE (1) bottle (750ml or larger) of KETEL ONE® Vodka...,"['ketel one®', 'ketel one® vodka ...']"
High Noon® Sun Sips on One (1) Variety 12 Pack of High Noon® Sun Sips.,"['high noon® sun sips', 'high noon® sun sips']"
"Risata Save $1 off ONE (1) , $5 off THREE (3), or $12 off SIX (6)...",['risata $']
BACARDI® INSTANTLY ON THE PURCHASE OF ONE (1) COCA-COLA® 10PK 7.5 OZ...,"['coca-cola® 10pk', 'oz ...']"
PLUME & PETAL® VODKA ON THE PURCHASE OF ONE (1) 750ML BOTTLE OF PLUME & PETAL®...,"['petal® vodka', '750ml bottle', 'petal® ...']"
TANQUERAY ONE (1) bottle (750ml or larger) of TANQUERAY London Dry...,['tanqueray london dry ...']
"SMIRNOFF ONE (1) bottle (750ml or larger) of SMIRNOFF (any variant,...",[]
DON JULIO ONE (1) bottle (750ml only) of DON JULIO Blanco Tequila.,"['don julio', 'don julio blanco tequila']"
BOMBAY SAPPHIRE® GIN ON THE PURCHASE OF ONE (1) 750ML BOTTLE OF BOMBAY SAPPHIRE®...,"['bombay sapphire® gin', '750ml bottle', 'bombay sapphire® ...']"
"Yes Way Rosé Save $1 off ONE (1) , $5 off THREE (3), or $12 off SIX (6)...",['yes way rosé $']
SMIRNOFF on ONE (1) 12-pack of SMIRNOFF Seltzer AND ONE (1) bottle...,"['smirnoff seltzer', 'bottle ...']"
Signature Cafe 8-Piece Dark Meat Fried... 4-each: drumsticks & thighs. Limit 2.,"['signature cafe 8-piece', 'dark meat', '... 4-each']"
Primo Taglio Ham Off The Bone or Pan Roasted Turkey Breast or American Yellow or White...,"['primo taglio ham', 'turkey breast', 'white ...']"
Wellington Water Crackers 4.4-oz.,['wellington water crackers 4.4-oz']
Mini Babybel Cheese 6-ct.,['mini babybel cheese 6-ct']
Signature Cafe Whole Roasted Chicken 28-34-oz. Limit 1.,"['signature cafe', 'chicken 28-34-oz']"
Signature Cafe Side Entrée 12-16-oz. Limit 1.,['signature cafe side entrée 12-16-oz']
Reser's® on any ONE (1) Reser's® Deli Salad.,"[""reser's® deli salad""]"
Claritin® Buy 1 Get $5.00 off or Buy More for Greater Savings! on...,[]
"CREST® on ONE Crest Gum Detoxify, Gum & Enamel Repair OR Gum &...","['crest gum detoxify', 'enamel repair']"
Crest Whitestrips ONE Crest 3D White Whitestrips Kit (excludes Noticeably...,"['crest whitestrips', 'crest 3d', 'white whitestrips kit']"
Fixodent ONE Fixodent Adhesive 1.4 oz OR larger (excludes...,['fixodent adhesive']
"Oral B ONE Oral-B Adult Manual Toothbrush (excludes Pulsar,...","['oral b', 'oral-b adult', 'manual toothbrush']"
Prilosec ONE Prilosec OTC Product.,['prilosec otc product']
Crest / Scope ONE Crest Mouthwash 473 mL (16 oz) or larger (excludes...,"['crest / scope', 'crest mouthwash']"
"Crest ONE Crest 3D White Whitening Therapy Enamel Care,...","['crest 3d', 'therapy enamel care']"
"Oral B ONE Oral-B Glide Manual Floss, Floss Picks, Interdental...","['oral b', 'oral-b glide', 'manual floss', 'interdental ...']"
Crest ONE Crest Toothpaste 3 oz or more (excludes 4.6 oz Crest...,"['crest toothpaste', 'oz crest ...']"
"Crest ONE Crest Gum Detoxify, Gum & Enamel Repair, OR Gum &...","['crest gum detoxify', 'enamel repair']"
Oral B ONE Oral-B Vitality OR Pro 500 Rechargeable Electric...,"['oral b', 'oral-b vitality', 'rechargeable electric ...']"
Colgate® Optic White® ONLY On Colgate® Optic White® Renewal Toothpaste (3.0 oz....,"['colgate® optic white®', 'colgate® optic white® renewal toothpaste', 'oz ...']"
Stayfree® or Carefree® Buy 1 Get $2.00 off or Buy More for Greater Savings! on...,[]
Playtex® Sport® or o.b.® Tampons Buy 1 Get $3.00 off or Buy More for Greater Savings! on...,"['playtex® sport®', 'o.b.® tampons']"
Nexium® 24HR ONE (1) Nexium® 24HR 28ct or larger.,"['nexium® 24hr', 'nexium® 24hr 28ct']"
Cetaphil® on ANY ONE (1) Cetaphil® Product (excludes 4oz. or less -...,['cetaphil® product']
Differin® on ANY ONE (1) Differin® Product.,['differin® product']
BOOST® Nutritional Drinks or Drink Mixes on any TWO (2) BOOST® Nutritional Drinks or Drink Mixes.,"['boost® nutritional drinks', 'drink mixes', 'boost® nutritional drinks', 'drink mixes']"
ONE® Brands on ONE (1) ONE® Brands protein bar 60g bar any flavor.,"['one® brands', 'one® brands protein']"
Osteo Bi-Flex® on any ONE (1) Osteo Bi-Flex® product (28ct or larger).,"['osteo bi-flex®', 'osteo bi-flex® product']"
CLIF BAR® on any ONE (1) CLIF® Bar Multipack.,['clif bar®']
"BENADRYL® on Any ONE (1) BENADRYL® 20ct, 24ct or 4oz product...","['benadryl® 20ct', '4oz product ...']"
Claritin® off any ONE (1) Claritin® Cool Mint Chewables 24 ct.,['cool mint chewables']
Claritin-D® off any ONE (1) Claritin-D® 15ct or larger.,['claritin-d® 15ct']
Claritin® off any ONE (1) Children's Claritin® Syrup 4oz or larger.,"[""children 's claritin® syrup 4oz""]"
Claritin® off any ONE (1) Children's Claritin® Chewables 20ct OR ONE...,"[""children 's claritin® chewables 20ct""]"
Ensure® on Any TWO (2) Ensure Multi-Pack Shakes.,['ensure multi-pack shakes']
Aleve® on any ONE (1) Aleve® or Aleve®PM product 40ct. or larger...,['aleve®pm product 40ct']
"Adult ZYRTEC® when you buy ONE (1) Adult ZYRTEC® product, any variety...","['adult zyrtec®', 'adult zyrtec® product', 'variety ...']"
Florastor on any ONE (1) Florastor product.,['florastor product']
"Allegra® on ONE (1) Allegra® Allergy 24ct or larger, Allegra-D®, or...",['allegra® allergy 24ct']
Dixie Tableware 40-94-ct.,['dixie tableware 40-94-ct']
Kingsford Match Light or Charcoal... 12-16-lb. Limit 2.,['charcoal ... 12-16-lb']
Pabst Blue Ribbon on ONE (1) Pabst Blue Ribbon 30pk and ONE (1) Bag of...,"['blue ribbon', 'blue ribbon 30pk']"
Tide ONE Tide Laundry Detergent 37 oz TO 50 oz (excludes Tide...,"['tide laundry detergent', 'tide ...']"
Tide ONE Tide PODS 16 ct OR 12 ct (excludes Tide Liquid/Powder...,"['tide pods', 'tide liquid/powder ...']"
Chinet® Cut Crystal® Buy TWO (2) Chinet® Cut Crystal® Get ONE (1) Chinet® Cut...,[]
Gain ONE Gain Flings 16 ct OR 14 ct OR 12 ct OR Gain Liquid...,"['gain flings', 'gain liquid ...']"
Gain ONE Gain Liquid Fabric Softener 48 ld OR Gain Fireworks In...,"['gain liquid fabric softener', 'gain fireworks']"
Raid® any ONE (1) Raid® Wasp & Hornet Product.,"['raid® wasp', 'hornet product']"
OFF!® any ONE (1) OFF!® brand product.,['® brand product']
Raid® on any ONE (1) Raid® Essential Oils Product (Excludes Raid®...,"['essential oils product', 'raid® ...']"
"OFF!® on any ONE (1) OFF!® Product (Excludes Club Packs, Twin...","['® product', 'twin ...']"
Tillamook Ice Cream 1.75-qt.,['tillamook ice cream 1.75-qt']
Popsicle Novelties 9-18-ct.,['popsicle novelties 9-18-ct']
Pepperidge Farm Turnovers 12.5-oz. or 19.6-oz. cakes.,['pepperidge farm turnovers 12.5-oz']
Signature SELECT Frozen Dessert 8-9.87-oz. Limit 1.,['select frozen dessert 8-9.87-oz']
Signature SELECT Ice Cream 1.5-qt. Limit 1.,['select ice cream 1.5-qt']
"Tillamook® Ice Cream on any TWO (2) Tillamook® Ice Cream Products, 56 oz.","['tillamook® ice cream', 'tillamook® ice cream products']"
VALSOIA on ONE (1) Valsoia Dairy Free Gelato.,"['valsoia dairy', 'free gelato']"
Bubbies Ice Cream any ONE (1) Bubbies Mochi or Cookie Dough Ice Cream Bites...,"['bubbies ice cream', 'bubbies mochi', 'cookie dough ice cream bites ...']"
Cheez-It Snack Mix 40-oz.,['cheez-it snack mix 40-oz']
Ghirardelli Chocolate Bars 3.17-3.5-oz.,['ghirardelli chocolate']
Pepperidge Farm Goldfish Crackers 6-8-oz.,['pepperidge farm goldfish crackers 6-8-oz']
Cheez-It Crackers 8.7-12.4-oz.,['cheez-it crackers 8.7-12.4-oz']
Planters Peanuts 16-oz.,['planters peanuts 16-oz']
Calidad Tortilla Chips 11.5-12-oz.,['calidad tortilla chips 11.5-12-oz']
Signature SELECT Snacking Nuts 5-8.5-oz Limit 1.,['nuts 5-8.5-oz limit']
Signature SELECT Cookie Thins 7-oz. Limit 1.,['select cookie thins 7-oz']
Signature SELECT Cheese Crunchies 8-oz. Limit 1.,['select cheese crunchies 8-oz']
Werther's Original Popcorn on ONE (1) Werther's Original Popcorn 6oz bag.,"[""werther 's"", 'original popcorn', ""werther 's"", 'original popcorn 6oz bag']"
Chudabeef Jerky Product On any ONE (1) Chudabeef Jerky Product.,"['chudabeef jerky product', 'chudabeef jerky product']"
"Lily’s Chocolate Bar any ONE (1) Lily’s Chocolate Bar, Chocolate Candy or Baking...","['’ s chocolate', '’ s chocolate', 'chocolate candy']"
Nature's Own Perfectly Crafted Bread 22-oz. or 15-16-oz. Nature's Own buns.,"[""nature 's"", 'bread 22-oz', ""nature 's"", 'own buns']"
Dave's Killer Thin Sliced Bread 20.5-oz.,"[""dave 's killer"", 'bread 20.5-oz']"
Alfaro's Artesano Buns 14.5-15-oz. or 20-oz. Alfaro's Artesano bread.,"[""alfaro 's artesano buns 14.5-15-oz"", ""alfaro 's artesano bread""]"
Oroweat Organic Breakfast Items 13-13.75-oz. or 20-oz. Oroweat Organic thin sliced bread.,"['oroweat organic breakfast items 13-13.75-oz', 'oroweat organic']"
Signature SELECT Madeleine Cookies 14-oz. Limit 1.,['select madeleine cookies 14-oz']
Signature SELECT Petite Brownie Bites 24-oz. Limit 1.,['select petite brownie bites 24-oz']
Signature SELECT French Bread 1-each. Limit 1.,['select french bread 1-each']
Sun-Maid Raisin Bread on ONE (1) loaf of Sun-Maid Raisin Bread 16oz.,"['sun-maid raisin bread', 'sun-maid raisin bread 16oz']"
Nature's Own Perfectly Crafted Brioche... on ONE (1) Nature's Own Perfectly Crafted Brioche Style...,"[""nature 's"", 'brioche ...', ""nature 's"", 'brioche style ...']"
Sweet Baby Ray's Barbecue Sauce 18-oz.,"[""sweet baby ray 's barbecue sauce 18-oz""]"
Duncan Hines Classic Cake or Brownie Mix 15.25-18-oz.,"['duncan hines', 'classic cake', 'brownie mix 15.25-18-oz']"
Signature SELECT Snack Olives 1.05-oz. Limit 1.,['select snack olives 1.05-oz']
General Mills Large Cereal 12-16.8-oz. Or 5.85-7.44-oz. Nature Valley Protein bars.,"['general mills', 'large cereal 12-16.8-oz', 'nature valley protein']"
Signature Pet Care™ Wet Cat Food When you buy FOUR 5.5-oz. Limit 1 offer.,['signature pet care™ wet cat food']
Signature Pet Care™ Wet Dog Food When you buy FOUR 22-oz. Limit 1 offer.,['signature pet care™ wet dog food']
Signature Pet Care™ Training Pads 30-100-ct. Limit 1.,['signature pet care™ training pads 30-100-ct. limit']
Signature Pet Care™ Bird Feed 4-7-lb. Limit 1.,['signature pet care™ bird feed 4-7-lb']
Signature Pet Care™ Dog Jerky 10-ct. Limit 1.,['signature pet care™ dog jerky 10-ct. limit']
"BLUE™ Buy THREE (3) Homestyle Recipe®, BLUE Delights® or BLUE...","['homestyle recipe®', 'blue delights®', 'blue ...']"
BLUE™ on ONE (1) BLUE Life Protection Formula® Dog Food or BLUE...,"['blue life protection formula® dog food', 'blue ...']"
"BLUE™ Buy TWO (2) BLUE dog or cat treats (2-48 oz), Get ONE (1) ...","['blue dog', 'cat treats']"
"Purina® on TWO (2) Purina® Beggin®, Busy® or DentaLife® Dog Treats...","['purina® beggin®', 'dentalife® dog treats ...']"
SHEBA® PERFECT PORTIONS™ Buy ONE (1) SHEBA® PERFECT PORTIONS™ Premium Cat Food (up...,"['perfect portions™', 'perfect portions™ premium cat food']"
SHEBA® PERFECT PORTIONS™ on any ONE (1) 12ct. multipack SHEBA® PERFECT PORTIONS™...,"['perfect portions™', 'multipack sheba®', 'perfect portions™ ...']"
No Yolks® on any ONE (1) No Yolks® 8oz. Noodles.,['yolks® 8oz']
Mission Flour Burrito Tortillas 8-ct.,['mission flour burrito tortillas 8-ct']
Pace® Salsa or Picante Sauce off ONE (1) jar of Pace® Salsa or Picante Sauce.,"['pace® salsa', 'picante sauce', 'pace® salsa', 'picante sauce']"
Pampers ONE BAG Pampers Pure Diapers (excludes trial/travel size).,"['bag pampers', 'pure diapers']"
Pampers ONE Bag Pampers Easy Ups Training Underwear OR UnderJams...,"['bag pampers', 'easy ups training underwear', 'underjams ...']"
Pampers / Luvs ONE Pampers OR Luvs Wipes 56 ct - 216 ct.,"['pampers / luvs', 'luvs wipes']"
HUGGIES® on ONE (1) Package of Huggies® Special DELIVERY™ Diapers...,['special delivery™ diapers ...']
"Pampers ONE BAG Pampers Swaddlers, Cruisers OR Baby Dry Diapers...","['bag pampers swaddlers', 'baby dry diapers ...']"
PULL-UPS® off any ONE (1) Bag of PULL-UPS® Training Pants (27 ct. or...,['pull-ups® training pants']
PULL-UPS® off any ONE (1) Box of PULL-UPS® Training Pants (40 ct. or...,['pull-ups® training pants']
HUGGIES® on any ONE (1) package of HUGGIES® LITTLE SWIMMERS®...,['swimmers® ...']
Happy Baby Organics & Happy Tot Organics any THREE (3) Happy Baby Organics & Happy Tot Organics...,"['happy baby organics', 'happy tot organics', 'happy baby organics', 'happy tot organics ...']"
TWO (2) BUSH'S BEST® Bean Dip (9.5 oz),"[""bush 's best® bean dip""]"
ONE (1)GOODCATCH® Tuna Item (3.3oz),['goodcatch® tuna item']
ONE (1) 3 lb Bag of Green Anjou Pears,"['lb bag', 'green anjou pears']"
ONE (1) CELSIUS (12 oz) Can,[]
on any TWO (2) Breyers® Ice Cream,['breyers® ice cream']
off ONE (1) jar of Pace® Salsa or Picante Sauce,"['pace® salsa', 'picante sauce']"
on any TWO (2) Sargento® Natural Cheese Slices,['natural cheese slices']
"ONE Gain Flings 12 ct TO 26 ct OR Gain Liquid Laundry Detergent (Includes Gain Botanicals and Gain Essential Oils) OR Gain Powder Laundry Detergent (excludes Gain Ultra Flings, Gain Fabric Enhancers, Gain Fireworks, Gain Flings 9 ct and trial/travel size).","['gain flings', 'gain liquid laundry detergent', 'gain botanicals', 'essential oils', 'gain powder laundry detergent', 'gain ultra flings', 'gain fabric enhancers', 'gain fireworks', 'gain flings']"
"ONE Tide Laundry Detergent (excludes Tide Purclean Laundry Detergent, Studio by Tide Laundry Detergent, Tide PODS, Tide Rescue, Tide Simply Laundry Detergent, Tide Simply PODS, Tide Detergent 10 oz and trial/travel size).","['tide laundry detergent', 'tide purclean laundry detergent', 'tide laundry detergent', 'tide pods', 'tide rescue', 'laundry detergent', 'tide detergent']"
on ONE (1) Frigo® Cheese Heads® 8ct or larger Snack Cheese Product,"['frigo® cheese heads® 8ct', 'snack cheese product']"
"ONE Downy Liquid Fabric Conditioner 48ld to 60ld (Includes Downy Odor Protect 32oz OR Downy Wrinkle Guard 25oz OR Downy Nature Blends 44 oz) OR Bounce/Downy Sheets 70ct to 120ct(Includes Bounce/Downy Wrinkle Guard 40ct to 60ct) OR In Wash Scent Boosters 5.7oz (includes Downy Unstopables, Fresh Protect, Odor Protect, and Infusions) OR Bounce Rapid Touch-up 3 in 1 Spray OR Downy Wrinkle Releaser Spray (excludes Downy Libre Enjuague and trial/travel size)","['downy liquid fabric conditioner 48ld', 'downy odor', 'downy wrinkle guard 25oz', 'downy nature blends', 'bounce/downy sheets 70ct', 'bounce/downy wrinkle guard 40ct', 'scent boosters 5.7oz', 'downy unstopables', 'rapid touch-up', 'downy wrinkle releaser spray', 'downy libre enjuague']"
"ONE Crest Toothpaste 3 oz or more (excludes 4.6 oz Crest Cavity, Regular, Base Baking Soda, Tartar Control/Protection, F&amp;W Pep Gleem, Gum Detoxify and Gum Enamel variants, Whitening Therapy variants, Kids and trial/travel size).","['crest toothpaste', 'oz crest cavity', 'tartar control/protection', 'w pep gleem', 'gum detoxify', 'gum enamel variants', 'therapy variants']"
on any ONE (1) HELLMANN'S® Mayonnaise,"[""hellmann's® mayonnaise""]"
Buy ONE (1) SHEBA® PERFECT PORTIONS™ Premium Cat Food (up to $0.89) and get ONE (1) FREE,['perfect portions™ premium cat food']
"ONE Gain Liquid Fabric Softener 48 ld or larger (includes Gain Botanicals) OR Gain Fireworks In Wash Scent Boosters 5.7 oz or larger OR Gain Dryer Sheets 105 ct or larger (excludes Gain Flings, Gain Detergent and trial/travel size).","['gain liquid fabric softener', 'gain botanicals', 'gain fireworks', 'scent boosters', 'gain dryer sheets', 'gain flings', 'gain detergent']"
"ONE Downy Liquid Fabric Conditioner 72 ld or larger (includes Downy Odor Protect 48 oz or larger OR Downy Wrinkle Guard 40 oz or larger OR Downy Nature Blends 67 oz or larger) OR Bounce/Downy Sheets 130 ct or larger (includes Bounce/Downy Wrinkle Guard 80 ct or larger) OR In Wash Scent Boosters 8.6 oz or larger (includes Downy Unstopables, Fresh Protect, Odor Protect, and Infusions) (excludes Downy Libre Enjuague, Gain Fireworks, and trial/travel size).","['downy liquid fabric conditioner', 'downy odor', 'downy wrinkle guard', 'downy nature blends', 'bounce/downy sheets', 'bounce/downy wrinkle guard', 'scent boosters', 'downy unstopables', 'downy libre enjuague', 'gain fireworks']"
"ONE Tide PODS OR Tide Power PODS (excludes Tide Liquid/Powder Laundry Detergent, Tide Simply, Tide Simply PODS, and Tide PODS 9 ct and below, and trial/travel size).","['tide pods', 'tide power pods', 'tide liquid/powder laundry detergent', 'tide pods']"
"ONE Always Radiant, Infinity, PURE, Pure Cotton, Ultra, OR Maxi Pads 10 ct OR higher (excludes Always Liners and Always Discreet).","['pure cotton', 'maxi pads']"
On Any ONE (1) Oikos Greek Yogurt Cup (Excluding Oikos Triple Zero),"['oikos greek yogurt cup', 'oikos triple zero']"
on any ONE (1) pack of Energizer® Batteries,['energizer® batteries']
"on TWO (2) Purina® Beggin®, Busy® or DentaLife® Dog Treats or Chews, any size, any variety","['purina® beggin®', 'dentalife® dog treats']"
"ONE Gain 81 oz or larger Liquid Fabric Softener, Downy Unstopables or","['liquid fabric softener', 'downy unstopables']"
"TWO Old Spice Anti-Perspirant/Deodorant, Body Wash OR Bar Soap (excludes twin packs, High Endurance, Body Spray and Invisible Spray and trial/travel size).","['high endurance', 'body spray', 'invisible spray']"
"ONE Tide Simply Laundry Detergent 34 oz OR 31 oz OR Tide Simply PODS 13 ct OR Downy Liquid Fabric Conditioner 40 ld OR Bounce/Downy Sheets 40 ct TO 60 ct OR In-Wash Scent Boosters 4.3 oz OR ERA Laundry Detergent 50 oz or smaller (includes Downy Unstopables, Fresh Protect, and Odor Protect) (excludes Bounce/Downy Wrinkle Guard Sheets, Downy Libre Enjuague, Gain Fireworks, and trial/travel size).","['laundry detergent', 'downy liquid fabric conditioner', 'bounce/downy sheets', 'in-wash scent boosters', 'era laundry detergent', 'downy unstopables', 'bounce/downy wrinkle guard sheets', 'downy libre enjuague', 'gain fireworks']"
"ONE Tampax Pearl, Radiant OR PURE Tampons (14 ct or higher).","['tampax pearl', 'pure tampons']"
"off any ONE (1) Bag of PULL-UPS® Training Pants (27 ct. or lower, not valid on trial packs)",['pull-ups® training pants']
on any ONE (1) Reser's Deli Sides 12-14oz Item,"[""reser 's deli sides 12-14oz item""]"
"on any ONE (1) Glade® 3-Wick Candles, Twin Pack 3.4oz Candles, PIugIn® Scented Oil Refill Pack, or Large Automatic Refills Only (Excludes 1 Count 3.4oz Candles and PlugIns® Scented Oil Warmer Only packs)","['glade® 3-wick candles', 'twin pack 3.4oz candles', 'oil refill pack', 'large automatic refills', '3.4oz candles', 'oil warmer']"
"on any one (1) Pine-Sol® product, 40oz+",['pine-sol® product']
"ONE Gain Flings 30 ct or larger OR Gain Ultra Flings 18 ct or larger (excludes Gain Liquid/Powder Laundry Detergent, Gain Fabric Enhancers, Gain Fireworks, Gain Flings 9 ct and trial/travel size).","['gain flings', 'gain ultra flings', 'gain liquid/powder laundry detergent', 'gain fabric enhancers', 'gain fireworks', 'gain flings']"
