Actual,Prediction
['tillamook ice cream 1.75-qt'],['Tillamook Ice Cream 1.75-qt']
['popsicle novelties 9-18-ct'],['Popsicle Novelties 9-18-ct']
['pepperidge farm turnovers 12.5-oz'],['Pepperidge Farm Turnovers 12.5-oz']
['select frozen dessert 8-9.87-oz'],['SELECT Frozen Dessert 8-9.87-oz']
['select ice cream 1.5-qt'],['SELECT Ice Cream 1.5-qt']
"['tillamook® ice cream', 'tillamook® ice cream products']","['Tillamook® Ice Cream', 'Tillamook® Ice Cream Products']"
"['valsoia dairy', 'free gelato']","['Valsoia Dairy', 'Free Gelato']"
"['bubbies ice cream', 'bubbies mochi', 'cookie dough ice cream bites ...']","['Bubbies Ice Cream', 'Bubbies Mochi', 'Cookie Dough Ice Cream Bites']"
['cheez-it snack mix 40-oz'],['Cheez-It Snack Mix 40-oz']
['ghirardelli chocolate'],['Ghirardelli Chocolate']
['pepperidge farm goldfish crackers 6-8-oz'],['Pepperidge Farm Goldfish Crackers 6-8-oz']
['cheez-it crackers 8.7-12.4-oz'],['Cheez-It Crackers 8.7-12.4-oz']
['planters peanuts 16-oz'],['Planters Peanuts 16-oz']
['calidad tortilla chips 11.5-12-oz'],['Calidad Tortilla Chips 11.5-12-oz']
['nuts 5-8.5-oz limit'],['Nuts 5-8.5-oz Limit']
['select cookie thins 7-oz'],['SELECT Cookie Thins 7-oz']
['select cheese crunchies 8-oz'],['SELECT Cheese Crunchies 8-oz']
"[""werther 's"", 'original popcorn', ""werther 's"", 'original popcorn 6oz bag']","[""Werther's"", 'Original Popcorn', 'Original Popcorn 6oz bag']"
"['chudabeef jerky product', 'chudabeef jerky product']",['Chudabeef Jerky Product']
"['’ s chocolate', '’ s chocolate', 'chocolate candy']","['’s Chocolate', '’s Chocolate', 'Chocolate Candy']"
"[""nature 's"", 'bread 22-oz', ""nature 's"", 'own buns']","[""Nature's"", 'Bread 22-oz', 'Own buns']"
"[""dave 's killer"", 'bread 20.5-oz']","[""Dave's Killer"", 'Bread 20.5-oz']"
"[""alfaro 's artesano buns 14.5-15-oz"", ""alfaro 's artesano bread""]","[""Alfaro's Artesano Buns 14.5-15-oz"", ""Alfaro's Artesano bread""]"
"['oroweat organic breakfast items 13-13.75-oz', 'oroweat organic']",['Oroweat Organic']
['select madeleine cookies 14-oz'],['SELECT Madeleine Cookies 14-oz']
['select petite brownie bites 24-oz'],['SELECT Petite Brownie Bites 24-oz']
['select french bread 1-each'],['SELECT French Bread 1-each']
"['sun-maid raisin bread', 'sun-maid raisin bread 16oz']","['Sun-Maid Raisin Bread', 'Sun-Maid Raisin Bread 16oz']"
"[""nature 's"", 'brioche ...', ""nature 's"", 'brioche style ...']","[""Nature's"", 'Brioche', 'Brioche Style']"
"[""sweet baby ray 's barbecue sauce 18-oz""]","[""Sweet Baby Ray's Barbecue Sauce 18-oz""]"
"['duncan hines', 'classic cake', 'brownie mix 15.25-18-oz']",['Brownie Mix 15.25-18-oz']
['select snack olives 1.05-oz'],['SELECT Snack Olives 1.05-oz']
"['general mills', 'large cereal 12-16.8-oz', 'nature valley protein']","['General Mills', 'Large Cereal 12-16.8-oz', 'Nature Valley Protein']"
['signature pet care™ wet cat food'],['Signature Pet Care™ Wet Cat Food']
['signature pet care™ wet dog food'],['Signature Pet Care™ Wet Dog Food']
['signature pet care™ training pads 30-100-ct. limit'],['Signature Pet Care™ Training Pads 30-100-ct. Limit']
['signature pet care™ bird feed 4-7-lb'],['Signature Pet Care™ Bird Feed 4-7-lb']
['signature pet care™ dog jerky 10-ct. limit'],['Signature Pet Care™ Dog Jerky 10-ct. Limit']
"['homestyle recipe®', 'blue delights®', 'blue ...']","['BLUE', 'Homestyle Recipe®', 'BLUE Delights®']"
"['blue life protection formula® dog food', 'blue ...']","['BLUE', 'BLUE Life Protection Formula® Dog Food']"
"['blue dog', 'cat treats']","['BLUE', 'BLUE dog', 'cat treats']"
"['purina® beggin®', 'dentalife® dog treats ...']","['Purina® Beggin®', 'DentaLife® Dog Treats']"
"['perfect portions™', 'perfect portions™ premium cat food']","['PERFECT PORTIONS™', 'PERFECT PORTIONS™ Premium Cat Food']"
"['perfect portions™', 'multipack sheba®', 'perfect portions™ ...']","['PERFECT PORTIONS™', 'multipack SHEBA®']"
['yolks® 8oz'],['No Yolks® 8oz']
['mission flour burrito tortillas 8-ct'],['Mission Flour Burrito Tortillas 8-ct']
"['pace® salsa', 'picante sauce', 'pace® salsa', 'picante sauce']","['Pace® Salsa', 'Picante Sauce']"
"['bag pampers', 'pure diapers']","['BAG Pampers', 'Pure Diapers']"
"['bag pampers', 'easy ups training underwear', 'underjams ...']","['Bag Pampers', 'Easy Ups Training Underwear', 'UnderJams']"
"['pampers / luvs', 'luvs wipes']","['Pampers / Luvs', 'Luvs Wipes']"
['special delivery™ diapers ...'],['Special DELIVERY™ Diapers']
"['bag pampers swaddlers', 'baby dry diapers ...']",['BAG Pampers Swaddlers']
['pull-ups® training pants'],['PULL-UPS® Training Pants']
['pull-ups® training pants'],['PULL-UPS® Training Pants']
['swimmers® ...'],['SWIMMERS®']
"['happy baby organics', 'happy tot organics', 'happy baby organics', 'happy tot organics ...']","['Happy Baby Organics', 'Happy Tot Organics']"
"[""bush 's best® bean dip""]","[""BUSH'S BEST® Bean Dip""]"
['goodcatch® tuna item'],['1)GOODCATCH® Tuna Item']
"['lb bag', 'green anjou pears']","['lb Bag', 'Green Anjou']"
[],[]
['breyers® ice cream'],['Breyers® Ice Cream']
"['pace® salsa', 'picante sauce']","['Pace® Salsa', 'Picante Sauce']"
['natural cheese slices'],['Natural Cheese Slices']
"['gain flings', 'gain liquid laundry detergent', 'gain botanicals', 'essential oils', 'gain powder laundry detergent', 'gain ultra flings', 'gain fabric enhancers', 'gain fireworks', 'gain flings']","['Gain Flings', 'Gain Liquid Laundry Detergent', 'Gain Botanicals', 'Essential Oils', 'Gain Powder Laundry Detergent', 'Gain Ultra Flings', 'Gain Fabric Enhancers', 'Gain Fireworks']"
"['tide laundry detergent', 'tide purclean laundry detergent', 'tide laundry detergent', 'tide pods', 'tide rescue', 'laundry detergent', 'tide detergent']","['Tide Laundry Detergent', 'Tide Purclean Laundry Detergent', 'Tide PODS', 'Tide Rescue', 'Tide Detergent']"
"['frigo® cheese heads® 8ct', 'snack cheese product']","['Frigo® Cheese Heads® 8ct', 'Snack Cheese Product']"
"['downy liquid fabric conditioner 48ld', 'downy odor', 'downy wrinkle guard 25oz', 'downy nature blends', 'bounce/downy sheets 70ct', 'bounce/downy wrinkle guard 40ct', 'scent boosters 5.7oz', 'downy unstopables', 'rapid touch-up', 'downy wrinkle releaser spray', 'downy libre enjuague']","['Downy Liquid Fabric Conditioner 48ld', 'Downy Odor', 'Downy Wrinkle Guard 25oz', 'Downy Nature Blends', 'Bounce/Downy Sheets 70ct', 'Bounce/Downy Wrinkle Guard 40ct', 'Scent Boosters 5.7oz', 'Downy Unstopables', 'Rapid Touch-up', 'Downy Wrinkle Releaser Spray', 'Downy Libre Enjuague']"
"['crest toothpaste', 'oz crest cavity', 'tartar control/protection', 'w pep gleem', 'gum detoxify', 'gum enamel variants', 'therapy variants']","['Crest Toothpaste', 'oz Crest Cavity', 'Tartar Control/Protection', 'F&amp;W Pep Gleem', 'Gum Detoxify', 'Gum Enamel variants', 'Therapy variants']"
"[""hellmann's® mayonnaise""]","[""HELLMANN'S®""]"
['perfect portions™ premium cat food'],['PERFECT PORTIONS™ Premium Cat Food']
"['gain liquid fabric softener', 'gain botanicals', 'gain fireworks', 'scent boosters', 'gain dryer sheets', 'gain flings', 'gain detergent']","['Gain Liquid Fabric Softener', 'Gain Botanicals', 'Gain Fireworks', 'Scent Boosters', 'Gain Dryer Sheets', 'Gain Flings', 'Gain Detergent']"
"['downy liquid fabric conditioner', 'downy odor', 'downy wrinkle guard', 'downy nature blends', 'bounce/downy sheets', 'bounce/downy wrinkle guard', 'scent boosters', 'downy unstopables', 'downy libre enjuague', 'gain fireworks']","['Downy Liquid Fabric Conditioner', 'Downy Odor', 'Downy Wrinkle Guard', 'Downy Nature Blends', 'Bounce/Downy Sheets', 'Bounce/Downy Wrinkle Guard', 'Scent Boosters', 'Downy Unstopables', 'Downy Libre Enjuague', 'Gain Fireworks']"
"['tide pods', 'tide power pods', 'tide liquid/powder laundry detergent', 'tide pods']","['Tide PODS', 'Tide Power PODS', 'Tide Liquid/Powder Laundry Detergent']"
"['pure cotton', 'maxi pads']","['Pure Cotton', 'Maxi Pads']"
"['oikos greek yogurt cup', 'oikos triple zero']","['Oikos Greek Yogurt Cup', 'Oikos Triple Zero']"
['energizer® batteries'],['Energizer® Batteries']
"['purina® beggin®', 'dentalife® dog treats']","['Purina® Beggin®', 'DentaLife® Dog Treats']"
"['liquid fabric softener', 'downy unstopables']","['Liquid Fabric Softener', 'Downy Unstopables']"
"['high endurance', 'body spray', 'invisible spray']","['High Endurance', 'Body Spray', 'Invisible Spray']"
"['laundry detergent', 'downy liquid fabric conditioner', 'bounce/downy sheets', 'in-wash scent boosters', 'era laundry detergent', 'downy unstopables', 'bounce/downy wrinkle guard sheets', 'downy libre enjuague', 'gain fireworks']","['Laundry Detergent', 'Downy Liquid Fabric Conditioner', 'Bounce/Downy Sheets', 'In-Wash Scent Boosters', 'ERA Laundry Detergent', 'Downy Unstopables', 'Bounce/Downy Wrinkle Guard Sheets', 'Downy Libre Enjuague', 'Gain Fireworks']"
"['tampax pearl', 'pure tampons']","['Tampax Pearl', 'PURE Tampons']"
['pull-ups® training pants'],['PULL-UPS® Training Pants']
"[""reser 's deli sides 12-14oz item""]","[""Reser's Deli Sides 12-14oz Item""]"
"['glade® 3-wick candles', 'twin pack 3.4oz candles', 'oil refill pack', 'large automatic refills', '3.4oz candles', 'oil warmer']","['Twin Pack 3.4oz Candles', 'Oil Refill Pack', 'Large Automatic Refills', 'Oil Warmer']"
['pine-sol® product'],['Pine-Sol® product']
"['gain flings', 'gain ultra flings', 'gain liquid/powder laundry detergent', 'gain fabric enhancers', 'gain fireworks', 'gain flings']","['Gain Flings', 'Gain Ultra Flings', 'Gain Liquid/Powder Laundry Detergent', 'Gain Fabric Enhancers', 'Gain Fireworks']"
"['benadryl® 20ct', '4oz product']","['BENADRYL® 20ct', '4oz product']"
"['discreet incontinence product', 'discreet boutique']","['DISCREET Incontinence Product', 'Discreet Boutique']"
"['laundry detergent', 'era laundry detergent', 'tide detergent', 'tide pods']","['Laundry Detergent', 'ERA Laundry Detergent', 'Tide Detergent', 'Tide PODS']"
"['’ s chocolate', 'chocolate candy']","['’s Chocolate', 'Chocolate Candy']"
['venus products'],['Venus Products']
['flavor/variety cascadian farm™ cereal'],['flavor/variety Cascadian Farm™ Cereal']
['crunchy crunchmaster® crackers'],['crunchy Crunchmaster® Crackers']
[],[]
"['multipack sheba®', 'perfect portions™ premium cat food']","['multipack SHEBA®', 'PERFECT PORTIONS™ Premium Cat Food']"
['aleve®pm product 40ct'],['Aleve®PM product 40ct']
['gillette blade refill'],['Gillette Blade Refill']
[],[]
['prilosec otc product'],['Prilosec OTC Product']
['olay facial cleanser'],['Olay Facial Cleanser']
"['happy baby organics', 'happy tot organics pouches']","['Happy Baby Organics', 'Happy Tot Organics pouches']"
['drink product'],['Drink product']
"['crest gum detoxify', 'enamel repair']","['Crest Gum Detoxify', 'Enamel Repair']"
"['oral-b glide', 'manual floss', 'interdental brush']","['Oral-B Glide', 'Manual Floss', 'Interdental Brush']"
['pull-ups® training pants'],['PULL-UPS® Training Pants']
"['dreft newborn laundry detergent', 'active baby laundry detergent', 'pure gentleness laundry detergent']","['Dreft Newborn Laundry Detergent', 'Active Baby Laundry Detergent', 'Pure Gentleness Laundry Detergent']"
"['allegra® allergy 24ct', ""children 's allegra® product""]","['Allegra® Allergy 24ct', ""Children's Allegra® Product""]"
['adult zyrtec® product'],['Adult ZYRTEC® product']
['olay facial moisturizer'],['Olay Facial Moisturizer']
"['gillette razor', 'venus products']","['Gillette Razor', 'Venus Products']"
"['dreft blissfuls', 'scent boosters']","['Dreft Blissfuls', 'Scent Boosters']"
['nexium® 24hr 28ct'],['Nexium® 24HR 28ct']
['nutro™ wholesome essentials™ dry cat food bag'],['NUTRO™ WHOLESOME ESSENTIALS™ Dry Cat Food bag']
[],[]
"['® product', '® products']","['® Product(Excludes Club', '® Products']"
['venus blade refill'],['Venus Blade Refill']
['venus razor'],['Venus Razor']
"['tide purclean laundry detergent', 'tide laundry detergent', 'tide detergent', 'tide pods', 'tide rescue', 'laundry detergent', 'tide detergent']","['Tide Purclean Laundry Detergent', 'Tide Detergent', 'Tide PODS', 'Tide Rescue', 'Tide Detergent']"
['burts bees adult toothpaste'],['Burts Bees Adult Toothpaste']
['osteo bi-flex® product'],['Osteo Bi-Flex® product']
"[""children 's claritin® syrup 4oz""]","[""Children's Claritin® Syrup 4oz""]"
"['tide detergent', 'tide pods']","['Tide detergent', 'Tide PODS']"
['international aisle'],['International Aisle']
['disposable swimpants'],['Disposable Swimpants']
"[""children 's claritin® chewables 20ct"", ""children 's reditab®""]","[""Children's Claritin® Chewables 20ct"", ""Children's Reditab®""]"
['colgate® optic white® renewal toothpaste'],['Colgate® Optic White® Renewal Toothpaste']
"['tide antibacterial spray', 'tide stain pen', 'tide rescue', 'tide laundry detergent', 'tide pods']","['Tide Antibacterial Spray', 'Tide Stain Pen', 'Tide Rescue', 'Tide Laundry Detergent', 'Tide PODS']"
"['essential oils product', 'raid® club']",['Essential Oils Product(Excludes Raid® Club']
"['triscuit cheddar', 'tzatziki crackers']","['TRISCUIT Cheddar', 'Tzatziki Crackers']"
"['lipton® teabags', 'tea mix product']","['Lipton® TeaBags', 'Tea Mix product']"
['tillamook ice cream'],['Tillamook Ice Cream']
['greenwise pork loin boneless chops'],['GreenWise Pork Loin Boneless Chops']
"[""reese 's""]","[""Reese's""]"
"['colgate totalsf', 'colgate® optic white®']","['Colgate TotalSF', 'Colgate® Optic White®']"
[],[]
['tigertail fusion wing sauce'],['Tigertail Fusion Wing Sauce']
"['tostitos® dip', 'tostitos® tortilla chips', '– 18oz bags']","['1)Tostitos® Dip', 'Tostitos® Tortilla Chips', '– 18oz bags']"
['pine-sol® product'],['Pine-Sol® Product']
"[""mrs. butterworth 's"", 'new breakfast', 'pancake cups']","['NEW Breakfast', 'Pancake Cups']"
['fit tub'],['Fit tub']
['energizer® batteries'],['Energizer® Batteries']
['dole® acai bowl'],['Dole® Acai Bowl']
['ziploc® brand bags < br >'],[]
"['benadryl® 20ct', '4oz product']","['BENADRYL® 20ct', '4oz product']"
['healthy choice power'],['Healthy Choice Power']
"['ripple dairy', 'free milk']","['Ripple Dairy', 'Free Milk']"
"['publix glass', 'trigger bottle', '32-oz bot']","['Publix Glass', 'Trigger Bottle', '32-oz bot']"
"['soft drink', 'seltzer water', '2-l bot']","['Soft Drink', 'Seltzer Water', '2-L bot']"
"['crest toothpaste', 'oz crest cavity', 'tartar control/protection', 'w pep gleem', 'gum detoxify', 'gum enamel variants', 'therapy variants']","['Crest Toothpaste', 'oz Crest Cavity', 'Tartar Control/Protection', 'F&amp;W Pep Gleem', 'Gum Detoxify', 'Gum Enamel variants', 'Therapy variants']"
['reynolds bakeware'],['Reynolds Bakeware']
"['publix aprons gourmet chicken burger feta', 'bell pepper']","['Publix Aprons Gourmet Chicken Burger Feta', 'Bell Pepper']"
['good humor products'],['Good Humor products']
"['super pack', 'pampers swaddlers', 'baby dry diapers']","['Super Pack', 'Pampers Swaddlers', 'Baby Dry Diapers']"
"['publix bamboo skewers', '100-ct. pkg']","['Publix Bamboo Skewers', '100-ct. pkg']"
[],[]
"['good foods guacamole', 'dairy dip']","['Good Foods Guacamole', 'Dairy Dip']"
"['box pampers', 'pure diapers']",['Pure Diapers']
['kingsford® hardwood pellets 20lb bag < br >'],[]
"['bonus fuel points', 'doordash gift card']","['BONUS FUEL POINTS', 'DOORDASH gift card']"
"['4x fuel points', 'visa® gift card', 'visa® gift card', 'variable load gift cards', 'valid 5/22/20']","['4x FUEL Points', 'Visa® Gift Card', 'Valid 5/22/20']"
"['4x fuel points', 'gift card', 'prepaid wireless card', 'prepaid phone']","['4x FUEL Points', 'gift card', 'prepaid wireless card', 'prepaid phone']"
"[""reese 's"", ""reese 's""]","[""Reese's""]"
"[""reese 's"", ""hershey 's"", 'kit kat candy bags', ""reese 's"", ""hershey 's"", 'kit kat candy bags']","[""Reese's"", ""Hershey's"", 'Kit Kat Candy Bags']"
"['olive garden® parmesan ranch', 'olive garden® parmesan ranch']",['Olive Garden® Parmesan Ranch']
"['lipton® tea products', 'lipton® teabags', 'tea mix product']","['Lipton® Tea Products', 'Lipton® TeaBags', 'Tea Mix product']"
"[""nando 's perinaise"", ""nando 's perinaise item""]","[""Nando's"", ""Nando's PERinaise item""]"
"['twizzlers licorice candy bags', 'twizzlers licorice candy bags']",['Twizzlers Licorice Candy Bags']
"['crest toothpaste', 'crest toothpaste', 'crest cavity protection', 'tartar control/protection', '/ s']","['Crest Toothpaste', 'Crest Cavity Protection', 'Tartar Control/Protection']"
"[""reese 's"", 'york thins candy bags', ""reese 's"", 'york thins candy bags']","[""Reese's"", 'York Thins Candy Bags']"
"['kroger chip variety', 'kroger chip variety pack']",['Kroger Chip Variety']
"['private selection bbq sauce', 'private selection bbq sauce']",['Private Selection BBQ Sauce']
"['listerine® mouthwash', 'listerine® mouthwash']",['LISTERINE® Mouthwash']
"[""jerry 's ice cream pints"", 'cookie dough chunks', ""jerry 's ice cream pints"", ""jerry 's cookie dough chunks""]","[""Jerry's Ice Cream Pints"", 'Cookie Dough', ""Jerry's Cookie Dough""]"
"['colgate® optic white®', 'colgate totalsf toothpastes', 'colgate® optic white®', 'colgate totalsf toothpastes']","['Colgate® Optic White®', 'Colgate TotalSF Toothpastes']"
"['oral b items', 'oral b', 'manual toothbrushes', 'oral b healthy', 'cavity defense brushes', '/ s']","['Oral B', 'Manual Toothbrushes', 'Oral B Healthy', 'Cavity Defense brushes']"
"['axe antiperspirant', 'deodorant 2.7-3oz', 'body spray 4oz', 'bodywash 16oz', 'shampoo 16oz']","['Deodorant 2.7-3oz', 'Body Spray 4oz', 'Bodywash 16oz', 'Shampoo 16oz']"
"['oral-b glide floss', 'oral-b glide', 'manual floss', 'interdental brush']","['Oral-B Glide Floss', 'Manual Floss', 'Interdental Brush']"
"['degree item', 'dove men+care shampoo', 'antiperspirant/deodorant sticks', 'dry sprays', 'degree motionsense antiperspirant']","['Degree item', 'Dove Men+Care Shampoo', 'Antiperspirant/Deodorant Sticks', 'Dry Sprays', 'Degree MOTIONSENSE Antiperspirant']"
"['oral-b adult', 'manual toothbrush', 'oral-b pulsar', 'multi-pack adult', 'manual toothbrush', 'cavity defense']","['Oral-B Adult', 'Manual Toothbrush', 'Oral-B Pulsar', 'Multi-pack Adult', 'Cavity Defense']"
"['blue single', 'blue single', 'oikos triple zero products']","['Blue Single', 'Oikos Triple Zero products']"
"['tide laundry group', 'tide laundry detergent', 'tide purclean laundry detergent', 'tide laundry detergent', 'tide pods', 'tide rescue', 'tide detergent']","['TIDE LAUNDRY GROUP', 'Tide Laundry Detergent', 'Tide Purclean Laundry Detergent', 'Tide PODS', 'Tide Rescue', 'Tide Detergent']"
"['persil® detergent', 'persil® laundry detergent']","['Persil® Detergent', 'Persil® Laundry Detergent']"
"['crest toothpaste', 'crest 3d', 'therapy enamel care']","['Crest Toothpaste', 'Crest 3D', 'Therapy Enamel Care']"
"[""schmidt 's item"", 'planet shampoo', ""schmidt 's deodorant""]","[""Schmidt's item"", 'Planet Shampoo']"
"['crest gum health toothpaste', 'crest gum detoxify', 'enamel repair']","['Crest Gum Health Toothpaste', 'Crest Gum Detoxify', 'Enamel Repair']"
"['colgate® kids toothpaste', 'colgate® kids toothpaste']",['Colgate® Kids Toothpaste']
"['community coffee', 'single-serve box', 'community® coffee']","['Community Coffee', 'Single-Serve Box', 'Community® Coffee']"
"[""burt 's bees adult toothpaste"", ""burt 's bees adult toothpaste""]","[""Burt's Bees Adult Toothpaste""]"
"[""burt 's bees kids toothpaste"", ""burt 's bees kids toothpaste""]","[""Burt's Bees Kids Toothpaste""]"
"['colgate® optic', 'white renewal', 'colgate® optic', 'white renewal toothpaste']","['Colgate® Optic', 'White Renewal', 'White Renewal Toothpaste']"
"['kauai ss coffee pods', 'kauai ss coffee pods']",['Kauai SS Coffee Pods']
"['suave item', 'suave professionals green', ""men 's"", 'kids shampoo', 'suave essentials shampoo']","['Suave item', 'Suave Professionals Green', ""Men's"", 'Kids Shampoo', 'Suave Essentials Shampoo']"
"['kroger frozen appetizers', 'kroger frozen appetizer']",['Kroger Frozen Appetizers']
"['tresemme items', 'tresemme premium shampoo', 'styling aid']","['TRESemme items', 'TRESemme Premium Shampoo', 'Styling Aid']"
"[""nando 's peri peri sauce"", ""nando 's peri peri sauce""]","[""Nando's"", ""Nando's""]"
"['private selection mustard', 'private selection mustard']",['Private Selection Mustard']
"['planet oat oatmilk', 'planet oat oatmilk']",['Planet Oat oatmilk']
"['vero gusto premium pasta sauce', 'vero gusto premium pasta sauce']",['Vero Gusto Premium Pasta Sauce']
"['coffee mate® product', 'coffee mate®', 'original powder coffee creamer canister']","['COFFEE MATE® product', 'Original Powder Coffee Creamer Canister']"
"['herbal essences products', 'herbal essences shampoo', 'conditioner products', '[ / ]']","['Herbal Essences Products', 'Herbal Essences Shampoo', 'Conditioner Products']"
"['pantene products', 'pantene shampoo', '[ / ]']","['Pantene Products', 'Pantene Shampoo', '2N1 Products']"
"['pantene product', 'pantene hair affair product', '[ / ]']","['Pantene Product', 'Pantene Hair Affair Product']"
"['waterless product', 'waterless product', '[ / ]']",['Waterless Product']
"['aussie products', 'aussie shampoo', 'conditioner products', '[ / ]']","['Aussie Products', 'Aussie Shampoo', 'Conditioner Products']"
"['advil pm products', 'advil pm']",['Advil PM Products']
"['aussie products', 'aussie shampoo', 'conditioner products', '[ / ]']","['Aussie Products', 'Aussie Shampoo', 'Conditioner Products']"
"['pantene products', 'pantene nutrient blends products', '[ / ]']","['Pantene Products', 'Pantene Nutrient Blends Products']"
"['herbal essences products', 'herbal essences bio', 'conditioner products', '[ / ]']","['Herbal Essences Products', 'Herbal Essences Bio', 'Conditioner Products']"
"['herbal essences products', 'herbal essences shampoo', 'conditioner products', '[ / ]']","['Herbal Essences Products', 'Herbal Essences Shampoo', 'Conditioner Products']"
"['$ .50', 'rethink juice splash', 'rethink juice splash', 'kids juice']","['.50', 'RETHINK JUICE SPLASH', 'RETHINK JUICE SPLASH', 'Kids Juice']"
[],['11 FO']
"['pure zzzs products', 'vicks zzzquil', 'pure zzzs product', 'aromatherapy balm']","['PURE Zzzs Products', 'Vicks ZzzQuil', 'Aromatherapy Balm']"
"['hair food products', 'hair food products', '[ / ]']",['Hair Food Products']
"['tide pods', 'tide pods']",['Tide Pods']
"['energizer® batteries', 'energizer® batteries']",['Energizer® Batteries']
"['vietti artisan chili', 'vietti artisan']",['Vietti Artisan Chili']
"['finders keepers', 'finders keepers milk chocolate candy']","['Finders Keepers', 'Finders', 'Milk Chocolate Candy']"
"['colgate® zero mouthwash', 'colgate® zero mouthwash']",['Colgate® Zero Mouthwash']
"['special care oral rinse', 'special care oral rinse']",['Special Care Oral Rinse']
"['$ .50', 'di martino pasta', 'di martino pasta']",['.50']
"['culturelle probiotics', 'culturelle probiotic']",['Culturelle Probiotics']
"['oral-b vitality', 'rechargeable electric toothbrush', 'oral-b vitality', 'rechargeable electric toothbrush']","['Oral-B Vitality', 'Rechargeable Electric Toothbrush']"
"['clearblue items', 'febreze plug', '3ct refills', 'prilosec otc', 'vicks zzzquil', ""pure zzz 's gummies"", 'clearblue pregnancy tests']","['Clearblue items', 'Febreze Plug', '3ct Refills', 'Prilosec OTC', 'Vicks ZZZQuil', ""Pure ZZZ's Gummies"", 'Clearblue Pregnancy Tests']"
"['simple truth organic potato chips', 'simple truth organic potato chips']",['Simple Truth Organic Potato Chips']
"['pine-sol® products', 'pine-sol® product']",['Pine-Sol® Products']
"['benadryl® product', 'benadryl® 20ct', '4oz product']","['BENADRYL® product', '4oz product']"
"['non-drowsy claritin® product', 'non-drowsy claritin®']",['Non-Drowsy Claritin® Product']
"['non-drowsy claritin® liqui-gels®', 'non-drowsy claritin® liqui-gels®']",['Non-drowsy Claritin® Liqui-Gels®']
['gardein® skillet meal'],[]
[],[]
"['paqui chips bag', 'paqui chips bag']",['Paqui Chips Bag']
"['finish® quantum™', 'finish® max', 'finish® quantum™', 'finish® max']",['FINISH® Max']
"['fixodent adhesive', 'fixodent adhesive']",['Fixodent Adhesive']
"['native deodorants', 'native deodorants']",['Native Deodorants']
"['disposable razors', 'disposable razor', 'daisy 4ct']","['Disposable Razors', 'Daisy 4CT']"
"['olay wipes', 'age defy cleanser', 'olay wipes', 'age defy cleanser']","['Olay Wipes', 'Age Defy Cleanser']"
"['simple truth guacamole', 'simple truth guacamole']",['Simple Truth Guacamole']
"['rechargeable electric toothbrush', 'rechargeable electric toothbrush']",['Rechargeable Electric Toothbrush']
"['rechargeable electric toothbrush', 'rechargeable electric toothbrush']",['Rechargeable Electric Toothbrush']
"['prilosec otc products', 'prilosec otc product']",['Prilosec OTC Products']
"['$ .50', 'luvs diapers', 'luvs diapers']","['.50', 'LUVS Diapers']"
"['kashi® cereals', 'kashi® cereals']",['Kashi® Cereals']
"['private selection buffalo chicken dip', 'private selection buffalo dip']","['Private Selection Buffalo Chicken Dip', 'Private Selection Buffalo Dip']"
"['crest whitestrips', 'crest whitestrips item', 'white whitestrips']","['Crest Whitestrips', 'Crest Whitestrips item', 'White Whitestrips']"
"['yucatan guacamole squeeze product', 'yucatan guacamole squeeze product']",['Yucatan Guacamole']
"['private selection cheese', 'private selection cheese']",['Private Selection Cheese']
"['schick® razor products', 'disposable razor pack', 'schick® xtreme3®', 'schick® xtreme2®', 'ct disposables']","['Schick® Razor products', 'Disposable Razor Pack', 'Schick® Xtreme3®', 'Schick® Xtreme2®', 'ct Disposables']"
"['alocane burn gel', 'alocane emergency burn gel']","['Alocane Burn Gel', 'Alocane Emergency Burn Gel']"
"['$ .50', 'venus shave gels', 'gillette proglide shave gel', 'olay shave gel']","['.50', 'Venus Shave Gels', 'Gillette Proglide Shave Gel', 'Olay Shave Gel']"
"['olay regenerist facial moisturizer', 'olay regenerist facial moisturizer']",['Olay Regenerist Facial Moisturizer']
"['sheba® cat food', 'perfect portions™ premium cat food']","['SHEBA® Cat Food', 'Perfect Portions™ Premium Cat Food']"
"['disposable swimpants', 'disposable swimpants']",['Disposable Swimpants']
"['iwon organics sticks', 'iwon organic stix']","['IWON Organics Sticks', 'IWON Organic Stix']"
"['q mixers', 'q mixers']",[]
"['refresh machine formula', 'refresh machine formula']",['Refresh Machine Formula']
"['shoulders products', 'supreme shampoo', 'conditioner products', '[ / ]']","['Shoulders Products', 'Supreme Shampoo', 'Conditioner Products']"
"['sensible portions screamin', 'hot veggie straws', 'sensible portions screamin', 'hot veggie straw']","['Sensible Portions Screamin', 'Hot Veggie Straws']"
"['vital proteins collagen water', 'vital proteins collagen water']",['Vital Proteins Collagen Water']
"['zzzquil zzzquil products', 'vicks zzzquil product', 'pure zzzs']","['ZZZQUIL ZzzQuil Products', 'Vicks ZzzQuil Product', 'PURE Zzzs']"
"['clif granola', 'clif granola']",['CLIF Granola']
"[""chef 's"", 'real jerky', ""chef 's"", 'jerky snack', ""chef 's"", 'real jerky', '2.5oz bag', ""chef 's"", 'jerky snack']","[""Chef's"", 'Real Jerky', 'Jerky Snack', '2.5oz bag', 'Jerky Snack']"
"['visa® gift card', '* restrictions', 'redeem 5/20/2020-6/9/2020']","['Visa® gift card', '* Restrictions', 'redeem 5/20/2020-6/9/2020']"
